time, infected, susceptable
0, 0.040, 0.960
1, 0.169, 0.831
2, 0.514, 0.486
3, 0.480, 0.520
4, 0.516, 0.484
5, 0.489, 0.511
6, 0.500, 0.500
7, 0.487, 0.513
8, 0.526, 0.474
9, 0.486, 0.514
10, 0.504, 0.496
11, 0.501, 0.499
12, 0.489, 0.511
13, 0.524, 0.476
14, 0.479, 0.521
15, 0.513, 0.487
16, 0.485, 0.515
17, 0.521, 0.479
18, 0.478, 0.522
19, 0.513, 0.487
20, 0.481, 0.519
21, 0.521, 0.479
22, 0.488, 0.512
23, 0.518, 0.482
24, 0.484, 0.516
25, 0.515, 0.485
26, 0.488, 0.512
27, 0.523, 0.477
28, 0.506, 0.494
29, 0.490, 0.510
30, 0.520, 0.480
31, 0.501, 0.499
32, 0.507, 0.493
33, 0.497, 0.503
34, 0.501, 0.499
35, 0.495, 0.505
36, 0.522, 0.478
37, 0.495, 0.505
38, 0.495, 0.505
39, 0.519, 0.481
40, 0.480, 0.520
41, 0.516, 0.484
42, 0.486, 0.514
43, 0.523, 0.477
44, 0.471, 0.529
45, 0.521, 0.479
46, 0.482, 0.518
47, 0.506, 0.494
48, 0.483, 0.517
49, 0.498, 0.502
50, 0.516, 0.484
51, 0.514, 0.486
52, 0.474, 0.526
53, 0.509, 0.491
54, 0.502, 0.498
55, 0.513, 0.487
56, 0.490, 0.510
57, 0.489, 0.511
58, 0.501, 0.499
59, 0.517, 0.483
60, 0.487, 0.513
61, 0.531, 0.469
62, 0.467, 0.533
63, 0.528, 0.472
64, 0.458, 0.542
65, 0.541, 0.459
66, 0.478, 0.522
67, 0.502, 0.498
68, 0.516, 0.484
69, 0.495, 0.505
70, 0.495, 0.505
71, 0.514, 0.486
72, 0.487, 0.513
73, 0.513, 0.487
74, 0.501, 0.499
75, 0.499, 0.501
76, 0.506, 0.494
77, 0.496, 0.504
78, 0.514, 0.486
79, 0.501, 0.499
80, 0.492, 0.508
81, 0.510, 0.490
82, 0.492, 0.508
83, 0.495, 0.505
84, 0.501, 0.499
85, 0.518, 0.482
86, 0.497, 0.503
87, 0.492, 0.508
88, 0.507, 0.493
89, 0.490, 0.510
90, 0.522, 0.478
91, 0.502, 0.498
92, 0.508, 0.492
93, 0.490, 0.510
94, 0.513, 0.487
95, 0.504, 0.496
96, 0.525, 0.475
97, 0.498, 0.502
98, 0.498, 0.502
99, 0.495, 0.505
