time, infected, susceptable
0, 0.040, 0.960
1, 0.125, 0.875
2, 0.258, 0.742
3, 0.490, 0.510
4, 0.627, 0.373
5, 0.685, 0.315
6, 0.737, 0.263
7, 0.709, 0.291
8, 0.728, 0.272
9, 0.725, 0.275
10, 0.714, 0.286
11, 0.731, 0.269
12, 0.748, 0.252
13, 0.739, 0.261
14, 0.734, 0.266
15, 0.738, 0.262
16, 0.741, 0.259
17, 0.732, 0.268
18, 0.723, 0.277
19, 0.733, 0.267
20, 0.732, 0.268
21, 0.736, 0.264
22, 0.731, 0.269
23, 0.714, 0.286
24, 0.703, 0.297
25, 0.721, 0.279
26, 0.710, 0.290
27, 0.727, 0.273
28, 0.758, 0.242
29, 0.755, 0.245
30, 0.748, 0.252
31, 0.743, 0.257
32, 0.715, 0.285
33, 0.708, 0.292
34, 0.726, 0.274
35, 0.730, 0.270
36, 0.694, 0.306
37, 0.730, 0.270
38, 0.749, 0.251
39, 0.760, 0.240
40, 0.763, 0.237
41, 0.733, 0.267
42, 0.736, 0.264
43, 0.732, 0.268
44, 0.722, 0.278
45, 0.716, 0.284
46, 0.724, 0.276
47, 0.732, 0.268
48, 0.715, 0.285
49, 0.703, 0.297
50, 0.715, 0.285
51, 0.723, 0.277
52, 0.746, 0.254
53, 0.732, 0.268
54, 0.720, 0.280
55, 0.722, 0.278
56, 0.732, 0.268
57, 0.729, 0.271
58, 0.734, 0.266
59, 0.720, 0.280
60, 0.718, 0.282
61, 0.722, 0.278
62, 0.730, 0.270
63, 0.730, 0.270
64, 0.718, 0.282
65, 0.716, 0.284
66, 0.753, 0.247
67, 0.731, 0.269
68, 0.747, 0.253
69, 0.746, 0.254
70, 0.735, 0.265
71, 0.734, 0.266
72, 0.746, 0.254
73, 0.738, 0.262
74, 0.721, 0.279
75, 0.737, 0.263
76, 0.757, 0.243
77, 0.744, 0.256
78, 0.735, 0.265
79, 0.740, 0.260
80, 0.741, 0.259
81, 0.757, 0.243
82, 0.736, 0.264
83, 0.753, 0.247
84, 0.730, 0.270
85, 0.725, 0.275
86, 0.717, 0.283
87, 0.747, 0.253
88, 0.739, 0.261
89, 0.735, 0.265
90, 0.701, 0.299
91, 0.713, 0.287
92, 0.737, 0.263
93, 0.699, 0.301
94, 0.738, 0.262
95, 0.714, 0.286
96, 0.714, 0.286
97, 0.721, 0.279
98, 0.739, 0.261
99, 0.728, 0.272
