time, infected, susceptable
0, 0.040, 0.960
1, 0.143, 0.857
2, 0.286, 0.714
3, 0.440, 0.560
4, 0.548, 0.452
5, 0.479, 0.521
6, 0.549, 0.451
7, 0.498, 0.502
8, 0.525, 0.475
9, 0.499, 0.501
10, 0.536, 0.464
11, 0.504, 0.496
12, 0.507, 0.493
13, 0.520, 0.480
14, 0.519, 0.481
15, 0.526, 0.474
16, 0.496, 0.504
17, 0.535, 0.465
18, 0.497, 0.503
19, 0.545, 0.455
20, 0.486, 0.514
21, 0.534, 0.466
22, 0.517, 0.483
23, 0.517, 0.483
24, 0.525, 0.475
25, 0.513, 0.487
26, 0.520, 0.480
27, 0.521, 0.479
28, 0.510, 0.490
29, 0.520, 0.480
30, 0.505, 0.495
31, 0.505, 0.495
32, 0.525, 0.475
33, 0.521, 0.479
34, 0.499, 0.501
35, 0.525, 0.475
36, 0.517, 0.483
37, 0.518, 0.482
38, 0.517, 0.483
39, 0.518, 0.482
40, 0.510, 0.490
41, 0.508, 0.492
42, 0.522, 0.478
43, 0.511, 0.489
44, 0.531, 0.469
45, 0.510, 0.490
46, 0.521, 0.479
47, 0.508, 0.492
48, 0.522, 0.478
49, 0.514, 0.486
50, 0.512, 0.488
51, 0.516, 0.484
52, 0.508, 0.492
53, 0.532, 0.468
54, 0.507, 0.493
55, 0.510, 0.490
56, 0.518, 0.482
57, 0.519, 0.481
58, 0.510, 0.490
59, 0.510, 0.490
60, 0.523, 0.477
61, 0.528, 0.472
62, 0.502, 0.498
63, 0.525, 0.475
64, 0.503, 0.497
65, 0.534, 0.466
66, 0.502, 0.498
67, 0.533, 0.467
68, 0.514, 0.486
69, 0.520, 0.480
70, 0.518, 0.482
71, 0.517, 0.483
72, 0.522, 0.478
73, 0.507, 0.493
74, 0.520, 0.480
75, 0.502, 0.498
76, 0.536, 0.464
77, 0.520, 0.480
78, 0.507, 0.493
79, 0.518, 0.482
80, 0.517, 0.483
81, 0.510, 0.490
82, 0.501, 0.499
83, 0.537, 0.463
84, 0.506, 0.494
85, 0.532, 0.468
86, 0.498, 0.502
87, 0.538, 0.462
88, 0.503, 0.497
89, 0.527, 0.473
90, 0.517, 0.483
91, 0.519, 0.481
92, 0.532, 0.468
93, 0.492, 0.508
94, 0.529, 0.471
95, 0.520, 0.480
96, 0.520, 0.480
97, 0.516, 0.484
98, 0.524, 0.476
99, 0.521, 0.479
